様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,?
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,?,?,?,
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換機の有無,全熱交換機定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[?/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[?/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
AC1F-01,1,室内機,16,18,,0.2,,,,回転数制御,,無,無,,,,,,,,ACP-1,ACP-1,ACP1-1
AC1F-01,1,室内機,5,5.6,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-1,ACP-1,ACP1-4
AC1F-01,1,全熱交ユニット,,,650,,,0.5,,,,無,無,有,650,55,無,,,,,,HEU-2
AC1F-01,1,全熱交ユニット,,,650,,,0.5,,,,無,無,有,650,55,無,,,,,,HEU-3
AC1F-02,3,室内機,7.1,8,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-1,ACP-1,ACP1-3
AC1F-02,1,室内機,5,5.6,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-1,ACP-1,ACP1-4
AC1F-02,2,全熱交ユニット,,,650,,,0.5,,,,無,無,有,650,55,無,,,,,,HEU-2
AC1F-03,2,室内機,9,10,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-1,ACP-1,ACP1-2
AC1F-03,1,全熱交ユニット,,,650,,,0.5,,,,無,無,有,650,55,無,,,,,,HEU-2
AC1F-04,6,室内機,3.6,4,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-4,ACP-4,ACP4-1
AC1F-04,1,全熱交ユニット,,,650,,,0.5,,,,無,無,有,650,55,無,,,,,,HEU-8
AC1F-05,1,室内機,16,18,,0.2,,,,回転数制御,,無,無,,,,,,,,ACP-3,ACP-3,ACP3-1
AC1F-06,1,室内機,2.8,3.2,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-1,ACP-1,ACP1-5
AC1F-06,1,全熱交ユニット,,,250,,,0.2,,,,無,無,有,250,55,無,,,,,,HEU-5
AC2F-01,2,室内機,8,9,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-3,ACP-3,ACP3-3
AC2F-01,1,全熱交ユニット,,,850,,,0.8,,,,無,無,有,850,55,無,,,,,,HEU-1
AC2F-02,1,室内機,3.6,4,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-2,ACP-2,ACP2-8
AC2F-02,1,全熱交ユニット,,,350,,,0.3,,,,無,無,有,350,55,無,,,,,,HEU-4
AC2F-03,1,室内機,4.5,5,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-2,ACP-2,ACP2-7
AC2F-03,1,全熱交ユニット,,,350,,,0.3,,,,無,無,有,350,55,無,,,,,,HEU-4
AC2F-04,8,室内機,3.6,4,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-4,ACP-4,ACP4-1
AC2F-04,1,全熱交ユニット,,,850,,,0.6,,,,無,無,有,850,55,無,,,,,,HEU-7
AC2F-05,1,室内機,6.3,7.5,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-2,ACP-2,ACP2-2
AC2F-05,1,全熱交ユニット,,,250,,,0.2,,,,無,無,有,250,55,無,,,,,,HEU-5
AC2F-06,1,室内機,4.5,5,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-2,ACP-2,ACP2-5
AC2F-07,1,室内機,9,10,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-2,ACP-2,ACP2-1
AC2F-07,2,室内機,5,5.6,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-2,ACP-2,ACP2-4
AC2F-07,1,全熱交ユニット,,,650,,,0.5,,,,無,無,有,650,55,無,,,,,,HEU-3
AC2F-07,1,全熱交ユニット,,,350,,,0.3,,,,無,無,有,350,55,無,,,,,,HEU-4
AC2F-08,1,室内機,5.8,6.3,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-2,ACP-2,ACP2-6
AC2F-08,1,全熱交ユニット,,,200,,,0.2,,,,無,無,有,200,55,無,,,,,,HEU-6
AC2F-09,1,室内機,5.8,6.3,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-2,ACP-2,ACP2-6
AC2F-09,1,全熱交ユニット,,,200,,,0.2,,,,無,無,有,200,55,無,,,,,,HEU-6
AC2F-10,1,室内機,5.6,6.3,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-2,ACP-2,ACP2-3
AC2F-10,1,全熱交ユニット,,,200,,,0.2,,,,無,無,有,200,55,無,,,,,,HEU-6
AC2F-11,1,室内機,14,16,,0.2,,,,回転数制御,,無,無,,,,,,,,ACP-3,ACP-3,ACP3-2
AC2F-11,1,室内機,6.3,7.5,,0.1,,,,回転数制御,,無,無,,,,,,,,ACP-3,ACP-3,ACP3-4
AC2F-11,1,全熱交ユニット,,,1000,,,0.8,,,,無,無,有,1000,60,無,,,,,,HEU-9
,,,,,,,,,,,,,,,,,,,,,,,
