様式 3-2. (換気)給排気送風機入力シート,,,,,
,,,,,
,,,,,
?,②,?,制御による補正,,
,,,④,⑤,⑥
換気機器名称,定格風量,電動機定格消費電力,高効率電動機の有無,インバータの有無,送風量制御
,,,,,
,[?/h],[kW],,,
,,,(選択）,(選択）,(選択）
,,,,,
FE-1,298.35,0.0745875,,,
FE-2,162,0.0405,,,
FS-1,1231.2,0.3078,,,
FE-3,1231.2,0.3078,,,
FS-2,3219.75,0.8049375,,,
FE-4,3219.75,0.8049375,,,
FS-3,1895.4,0.47385,,,
FE-5,1895.4,0.47385,,,
FS-4,2154.6,0.53865,,,
FE-6,2154.6,0.53865,,,
FS-5,588.6,0.14715,,,
FE-7,588.6,0.14715,,,
FE-8,218.7,0.054675,,,
FE-9,610.2,0.15255,,,
FE-10,315.9,0.078975,,,
FE-11,103.95,0.0259875,,,
FE-12,113.4,0.02835,,,
FS-6,202.5,0.050625,,,
FE-13,202.5,0.050625,,,
FE-14,126.9,0.031725,,,
FE-15,162,0.0405,,,
FE-16,103.95,0.0259875,,,
FE-17,610.2,0.15255,,,
FE-18,656.1,0.164025,,,
FE-19,656.1,0.164025,,,
FE-20,162,0.0405,,,
FE-21,103.95,0.0259875,,,
FE-22,610.2,0.15255,,,
FE-23,656.1,0.164025,,,
FE-24,656.1,0.164025,,,
FE-25,162,0.0405,,,
FE-26,103.95,0.0259875,,,
FE-27,610.2,0.15255,,,
FE-28,656.1,0.164025,,,
FE-29,656.1,0.164025,,,
FE-30,162,0.0405,,,
FE-31,103.95,0.0259875,,,
FE-32,610.2,0.15255,,,
FE-33,656.1,0.164025,,,
FE-34,656.1,0.164025,,,
FE-35,162,0.0405,,,
FE-36,103.95,0.0259875,,,
FE-37,610.2,0.15255,,,
FE-38,656.1,0.164025,,,
FE-39,656.1,0.164025,,,
FE-40,162,0.0405,,,
FE-41,103.95,0.0259875,,,
FE-42,610.2,0.15255,,,
FE-43,656.1,0.164025,,,
FE-44,656.1,0.164025,,,
FE-45,162,0.0405,,,
FE-46,103.95,0.0259875,,,
FE-47,610.2,0.15255,,,
FE-48,656.1,0.164025,,,
FE-49,656.1,0.164025,,,
FE-50,162,0.0405,,,
FE-51,103.95,0.0259875,,,
FE-52,610.2,0.15255,,,
FE-53,656.1,0.164025,,,
FE-54,656.1,0.164025,,,
FS-7,13851,6.9255,,,
FE-55,13851,6.9255,,,
FE-56,162,0.0405,,,
FE-57,103.95,0.0259875,,,
FE-58,610.2,0.15255,,,
FE-59,656.1,0.164025,,,
FE-60,656.1,0.164025,,,
FS-8,1296,0.324,,,
FE-61,1296,0.324,,,
FS-9,777.6,0.1944,,,
FE-62,777.6,0.1944,,,
,,,,,
