ID,熱源種類,燃料種類,冷却方式,能力比（冷）,入力比（冷）,部分負荷特性（冷）,送水温度特性（冷）,能力比（温）,入力比（温）,部分負荷特性（温）,送水温度特性（温）
Rtype1,ターボ冷凍機（標準，ベーン制御）,電力,水冷,Cq1,Cp1,Cx1,Cw1,-,-,-,-
Rtype2,ターボ冷凍機（高効率，ベーン制御）,電力,水冷,Cq11,Cp11,Cx11,Cw11,-,-,-,-
Rtype3,ターボ冷凍機（高効率，インバータ制御）,電力,水冷,Cq1,Cp1,Cx1,Cw1,-,-,-,-
Rtype4,空冷ヒートポンプ（スクリュー，スライド弁）,電力,空冷,Cq1,Cp1,Cx2,Cw1,Hq1,Hp1,Hx1,Hw1
Rtype5,空冷ヒートポンプ（スクリュー，インバータ）,電力,空冷,Cq1,Cp1,Cx2,Cw1,Hq1,Hp1,Hx1,Hw1
Rtype6,空冷ヒートポンプ（スクロール，圧縮機台数制御）,電力,空冷,Cq6,Cp6,Cx6,Cw6,Hq6,Hp6,Hx6,Hw6
Rtype7,水冷チラー（スクリュー，スライド弁）,電力,水冷,Cq1,Cp1,Cx3,Cw1,-,-,-,-
Rtype8,水冷チラー（スクリュー，インバータ）,電力,水冷,Cq1,Cp1,Cx3,Cw1,-,-,-,-
Rtype9,水冷チラー（スクロール，圧縮機台数制御）,電力,水冷,Cq1,Cp1,Cx3,Cw1,-,-,-,-
Rtype10,直焚吸収冷温水器（三重効用）,ガス,水冷,Cq1,Cp1,Cx4,Cw1,Hq1,Hp1,Hx2,Hw1
Rtype11,直焚吸収冷温水器（ニ重効用）,ガス,水冷,Cq11,Cp11,Cx11,Cw11,Hq11,Hp11,Hx11,Hw11
Rtype12,直焚吸収冷温水器（高期間効率）,ガス,水冷,Cq1,Cp1,Cx4,Cw1,Hq1,Hp1,Hx2,Hw1
Rtype13,蒸気焚き吸収式冷温水器（二重効用）,蒸気,水冷,Cq1,Cp1,Cx4,Cw1,Hq1,Hp1,Hx2,Hw1
Rtype14,温水焚き吸収式冷温水器（一重効用）,温水,水冷,Cq1,Cp1,Cx4,Cw1,Hq1,Hp1,Hx2,Hw1
Rtype15,排熱投入型吸収式冷温水器（二重効用）,排熱,水冷,Cq1,Cp1,Cx4,Cw1,Hq1,Hp1,Hx2,Hw1
Rtype16,ボイラ（小型貫流ボイラ）,ガス,-,-,-,-,Cw1,Hq1,Hp1,Hx2,Hw1
Rtype17,ボイラ（真空温水ヒータ）,ガス,-,-,-,-,Cw1,Hq1,Hp1,Hx2,Hw1
Rtype18,電気式ビル用マルチ,電力,空冷,Cq18,Cp18,Cx18,Cw18,Hq18,Hp18,Hx18,Hw18
Rtype19,ガス式ビル用マルチ,ガス,空冷,Cq19,Cp19,Cx19,Cw19,Hq19,Hp19,Hx19,Hw19
